text_metric,market_metric,market_metric_key,n_obs,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r
Article Emotion Intensity,Amihud Impact Proxy,amihud_impact_proxy,169,0.025,0.7474,0.0247,0.7503,0.025
Reader Emotion Intensity,Log Volume Change,lnvol_chg,169,0.0245,0.7517,0.0453,0.5583,0.0245
Article Sentiment,Cumulative VWAP Proxy,vwap_cum,169,-0.0234,0.7631,0.0038,0.9612,0.0234
Article Emotion Intensity,Original Amihud Ratio,amihud_ratio,169,0.0223,0.7732,0.0329,0.6715,0.0223
Article Emotion Intensity,Volatility,volatility,169,-0.0222,0.7747,-0.0047,0.9518,0.0222
Article Emotion Intensity,Kyle Lambda Proxy,kyle_lambda_proxy,169,0.0222,0.7747,0.0321,0.6785,0.0222
Article Sentiment,Volume,volume,169,0.0198,0.7979,0.0649,0.4022,0.0198
Article Sentiment,Turnover Ratio,turnover_ratio,169,0.0198,0.7979,0.0649,0.4022,0.0198
Article Sentiment,Typical Price,typical_price,169,-0.0194,0.8022,-0.0026,0.9732,0.0194
Article Sentiment,VWAP Proxy,vwap_proxy,169,-0.0194,0.8022,-0.0026,0.9732,0.0194
Article Emotion Intensity,Daily Return,daily_return,169,0.0191,0.8056,0.0176,0.8206,0.0191
Reader Emotion Intensity,Amihud Impact Proxy,amihud_impact_proxy,169,-0.0178,0.8184,-0.0028,0.9712,0.0178
Reader Emotion Intensity,Kyle Lambda Proxy,kyle_lambda_proxy,169,-0.0174,0.8219,0.0053,0.9453,0.0174
Reader Emotion Intensity,Original Amihud Ratio,amihud_ratio,169,-0.0169,0.8279,0.0071,0.9274,0.0169
Article Sentiment,Adjusted Close,adjusted_close,169,-0.0164,0.8326,-0.001,0.9897,0.0164
Article Emotion Intensity,Cumulative VWAP Proxy,vwap_cum,169,0.016,0.8361,0.0338,0.6622,0.016
Reader Emotion Intensity,Volatility,volatility,169,0.016,0.8363,0.0348,0.6536,0.016
Reader Sentiment,Log Volume Change,lnvol_chg,169,0.0156,0.8405,0.01,0.897,0.0156
Article Sentiment,Stock Close,close,169,-0.0143,0.8539,0.0024,0.9749,0.0143
Article Sentiment,Intraday Change,intra_day_chg,169,-0.013,0.8671,-0.042,0.5881,0.013
Reader Sentiment,Volume,volume,169,-0.012,0.877,0.0471,0.543,0.012
Reader Sentiment,Turnover Ratio,turnover_ratio,169,-0.012,0.877,0.0471,0.543,0.012
Article Sentiment,Log Volume Change,lnvol_chg,169,0.0111,0.8861,-0.0081,0.9164,0.0111
Reader Emotion Intensity,Intraday Change,intra_day_chg,169,-0.0094,0.9033,0.04,0.6052,0.0094
Reader Sentiment,Cumulative VWAP Proxy,vwap_cum,169,0.0092,0.9056,0.0203,0.7938,0.0092
Reader Sentiment,Dollar Volume,dollar_volume,169,0.0034,0.9648,0.0615,0.4267,0.0034
