date,article_sentiment,reader_sentiment,article_emotion_intensity,reader_emotion_intensity,open,high,low,close,volume,adjusted,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg,amihud_ratio,amihud_zscore,illiq,hl_spread,zero_return_flag,typical_price,vwap_proxy,vwap_cum,rolls_measure,dollar_volume,kyle_lambda_proxy,amihud_impact_proxy,turnover_ratio,shares_outstanding,rolls_measure_rolling,rolls_measure_strict,rolls_measure_window,rolls_measure_min_periods,volume_zero_flag,adjusted_close,daily_return
2024-01-09,1.0,1.0,0.3824666666666667,0.36197,171.6199951,171.7899933,170.1000061,170.6600037,9923600.0,166.8459015,-0.007937475,0.1475918308947379,0.009874881,0.0991163600015515,0.035926934,-0.082751296,7.97e-10,-0.163853469,4.670501,0.0098861458537297,0,170.8500010333333,170.8500010333333,125.83937374595637,1.2646135947446695,1693561612.71732,7.998584183159334e-10,4.686853398421283e-12,0.0036483823529411,2720000000.0,0.7793541591280316,1.2646135947446695,252,126,0,166.8459015,-0.007906056755116131
2024-01-11,0.0,0.0,0.2244,0.21223999999999998,170.3300018,170.3600006,168.6399994,170.3000031,11919500.0,166.4939423,-0.00421898,0.1459023162202308,0.010098941,0.0994710666816957,0.035926934,0.1536359,3.53e-10,-0.824417299,4.362517,0.0101474997050148,0,169.7666677,169.7666677,125.8945602175136,1.2646135947446695,2029890886.95045,3.5395612232056713e-10,2.0784269869491687e-12,0.004382169117647,2720000000.0,0.7606793082943832,1.2646135947446695,252,126,0,166.4939423,-0.004210092145036759
2024-01-12,0.0,0.0,0.3234452380952381,0.26587976190476187,173.8000031,176.3099976,168.8999939,169.0500031,19429200.0,165.2718811,0.006094786,0.1674737699209559,0.016508701,0.0874492326090994,0.01925509,-0.309079948,3.78e-10,-0.787820351,4.254257,0.0429304126905608,0,171.4199982,171.4199982,125.94566920240229,1.2646135947446695,3284506320.23052,3.7917382084697257e-10,2.2429684347457584e-12,0.0071430882352941,2720000000.0,0.7577667697331838,1.2646135947446695,252,126,0,165.2718811,-0.007339973954115342
2024-01-16,-0.5,-0.5,0.36775416666666666,0.346975,164.8699951,168.0899963,164.3000031,167.9900055,17206400.0,164.2355652,-0.006290112,0.1454617317075754,0.022772296,0.0987768438645865,0.035926934,0.300878223,3.64e-10,-0.807719578,4.152185,0.0228044959646279,0,166.79333496666666,166.79333496666666,125.98624003279976,1.2646135947446695,2890503230.6352,3.6556816068439645e-10,2.176130416784804e-12,0.0063258823529411,2720000000.0,0.7386214577076348,1.2646135947446695,252,126,0,164.2355652,-0.006270370332222219
2024-01-17,0.0,0.0,0.30158611111111105,0.2677861111111111,167.3399963,169.0700073,166.4900055,167.0899963,11107500.0,163.3556824,-0.005371846,0.1456948510306212,0.015429249,0.0990045511621382,0.035926934,-0.270405051,4.82e-10,-0.632099433,4.102788,0.0153772899128938,0,167.55000303333333,167.55000303333333,126.01287238053334,1.2646135947446695,1855952133.90225,4.83623317578213e-10,2.89438822363666e-12,0.0040836397058823,2720000000.0,0.7167080467605942,1.2646135947446695,252,126,0,163.3556824,-0.005357443735944156
2024-01-18,0.5,0.0,0.384285,0.33094999999999997,167.1199951,167.5299988,165.2400055,167.4199982,9382300.0,163.6783142,0.001973079,0.1405019682608163,0.013690401,0.0932451178024631,0.035834374,-0.463586062,2.11e-10,-1.036975439,3.950269,0.0137632194633474,0,166.73000083333332,166.73000083333332,126.03489808135376,1.2646135947446695,1570784649.11186,2.1029800795114203e-10,1.2561104420746677e-12,0.003449375,2720000000.0,0.6348746701538279,1.2646135947446695,252,126,0,163.6783142,0.001975026489803744
2024-01-25,0.5,0.5,0.3026566666666667,0.2691875,172.3099976,172.9900055,170.9100037,172.9400024,8873500.0,169.0749512,0.014209504,0.1152956887095919,0.01204925,0.048103097485764,0.011314434,-0.221164923,1.61e-09,1.051693615,4.482624,0.0120965498363237,0,172.28000386666668,172.28000386666668,126.16993376745224,1.2646135947446695,1534583111.2964,1.6013415225108471e-09,9.259520644662872e-12,0.0032623161764705,2720000000.0,0.8258555351531593,1.2646135947446695,252,126,0,169.0749512,0.01431093891472246
2024-01-26,1.0,1.0,0.52345,0.3140333333333334,172.6100006,173.0599976,171.7799988,172.2799988,7443000.0,168.4296875,-0.004252338,0.1653411414296445,0.008511014,0.1010644855815081,0.025551925,0.05127293,5.13e-10,-0.586776612,4.409207,0.0074237258633727,0,172.37333173333332,172.37333173333332,126.18969211180551,1.2646135947446695,1282280031.0684,5.137359935509875e-10,2.981982802004684e-12,0.0027363970588235,2720000000.0,0.8472940012315805,1.2646135947446695,252,126,0,168.4296875,-0.003816435819855468
2024-01-30,0.0,0.0,0.26089999999999997,0.24080000000000001,172.8300018,176.7599945,172.8300018,176.2700043,10822100.0,172.3305206,0.020287274,0.1183296058155171,0.022514996,0.0487050850004256,0.011314434,0.263685583,1.89e-09,1.470222459,4.692659,0.0224834391235125,0,175.28666686666668,175.28666686666668,126.23863443659629,1.2646135947446695,1907611613.53503,1.8746152779959527e-09,1.0634907994927374e-11,0.0039787132352941,2720000000.0,0.8444677490931608,1.2646135947446695,252,126,0,172.3305206,0.020494459083873817
2024-01-31,0.5,0.5,0.6075937499999999,0.5158041666666666,176.1999969,178.3000031,174.3399963,174.3600006,11521800.0,170.4632111,-0.010894762,0.1187670484738891,0.022592462,0.0535789868218184,0.011326674,0.300950521,9.4e-10,0.050266469,4.753459,0.0224592037587214,0,175.66666666666666,175.66666666666666,126.27130009382311,1.2646135947446695,2008941054.91308,9.455781214740752e-10,5.423136718399824e-12,0.0042359558823529,2720000000.0,0.903440709151486,1.2646135947446695,252,126,0,170.4632111,-0.010835628497486316
2024-02-01,0.0,-0.3333333333333333,0.2431888888888889,0.20275500000000002,173.6399994,174.8399963,171.4299927,173.7299957,9354800.0,169.8472748,-0.003619853,0.1186233071832045,0.019633265,0.0540901270008432,0.011326674,0.017825332,3.86e-10,-0.775202331,4.623701,0.0196956346684724,0,173.33332823333333,173.33332823333333,126.29653896478088,1.2646135947446695,1625209363.77436,3.8695140462650174e-10,2.2273148805845618e-12,0.0034392647058823,2720000000.0,0.8823154563180439,1.2646135947446695,252,126,0,169.8472748,-0.003613309264945519
2024-02-06,1.0,1.0,0.5087333333333334,0.35921875000000003,174.6100006,175.8699951,173.7599945,175.1000061,6764800.0,171.1866608,0.003432516,0.1184920918282603,0.012067145,0.0541482811216417,0.011326674,-0.321084224,5.08e-10,-0.593441857,4.339704,0.0120699062595516,0,174.90999856666667,174.90999856666667,126.3606061490227,1.2646135947446695,1184516521.26528,5.074083491012299e-10,2.89782028226457e-12,0.0024870588235294,2720000000.0,0.8797659899207733,1.2646135947446695,252,126,0,171.1866608,0.003438414239639087
