date,article_sentiment,reader_sentiment,article_emotion_intensity,reader_emotion_intensity,close,adjusted_close,daily_return
2025-01-07,0.0,0.0,0.216675,0.26666666666666666,238.2840576171875,238.2840576171875,0.009632515163058741
2025-01-08,0.5,0.5,0.41417499999999996,0.3522666666666667,238.24485778808594,238.24485778808594,-0.0001645088198243272
2025-01-10,0.0,0.0,0.20199999999999999,0.20504285714285714,235.05035400390625,235.05035400390625,-0.013408489962125958
2025-01-13,1.0,1.0,0.52465,0.34644,239.30316162109375,239.30316162109375,0.018093176822515433
2025-01-14,0.6666666666666666,0.6666666666666666,0.4119972222222222,0.29714999999999997,242.49765014648438,242.49765014648438,0.013349127958654838
2025-01-15,0.6666666666666666,0.6666666666666666,0.40268296296296296,0.37106648148148147,247.2796173095703,247.2796173095703,0.01971964330457343
2025-01-16,0.0,0.0,0.237,0.214975,249.16104125976562,249.16104125976562,0.007608487794770191
2025-01-23,0.0,0.0,0.3941916666666667,0.2569638888888889,260.60638427734375,260.60638427734375,0.011832427928615274
2025-01-27,0.0,0.0,0.8653,0.47014999999999996,260.5083923339844,260.5083923339844,0.0038137764206498392
2025-01-31,1.0,1.0,0.832,0.7319,261.92919921875,261.92919921875,-0.0034672977613793288
2025-02-06,0.0,0.0,0.22049999999999997,0.24567499999999998,271.3363037109375,271.3363037109375,0.023924729944491796
2025-02-07,0.0,-0.3333333333333333,0.25172,0.21772500000000003,270.2584228515625,270.2584228515625,-0.003972490391566996
2025-02-11,0.5,0.5,0.373555,0.27037999999999995,269.4647216796875,269.4647216796875,0.014573618755677753
2025-02-12,0.0,-0.3333333333333333,0.36175833333333335,0.28517535714285713,269.9154968261719,269.9154968261719,0.0016728540332644481
2025-02-13,-0.14285714285714285,-0.42857142857142855,0.3095828571428571,0.30982714285714286,270.76800537109375,270.76800537109375,0.0031584275632416947
2025-02-14,0.0,0.0,0.22912833333333335,0.23531333333333335,271.0325622558594,271.0325622558594,0.000977061098496712
2025-02-18,0.25,0.25,0.2913375,0.27617291666666666,274.3250427246094,274.3250427246094,0.01214791477948629
2025-02-20,0.0,-0.6666666666666666,0.2765088888888889,0.298635,261.4392395019531,261.4392395019531,-0.04458386544653958
2025-02-24,0.3333333333333333,0.0,0.5436833333333334,0.3618333333333334,256.0889892578125,256.0889892578125,-0.010974888510322578
2025-02-28,0.0,-1.0,0.20305999999999996,0.19565,259.33245849609375,259.33245849609375,0.02161747691029281
2025-03-04,0.6666666666666666,0.6666666666666666,0.5233,0.3113722222222222,245.22181701660156,245.22181701660156,-0.03978972098028233
2025-03-06,-1.0,-1.0,0.33835,0.44755,241.5863494873047,241.5863494873047,-0.01983853705453631
2025-03-07,0.0,-1.0,0.25914000000000004,0.30776,237.4119415283203,237.4119415283203,-0.01727915491849319
