symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg,hl_spread,zero_return_flag,typical_price,vwap_proxy,vwap_cum,rolls_measure,dollar_volume,kyle_lambda_proxy,amihud_impact_proxy,turnover_ratio,shares_outstanding,shares_outstanding_source,shares_outstanding_asof,shares_outstanding_confidence,external_identity_status,rolls_measure_rolling,rolls_measure_strict,rolls_measure_window,rolls_measure_min_periods,volume_zero_flag
GS,2019-01-02,164.3300018,172.25,163.3500061,172.0299988,3999400,149.1396027,Casual Investors,-0.376813287,0.0,-1.351513603,25.89099,,,0.052919455,,,,0.0530392952218721,0,169.21000163333332,169.21000163333332,169.21000163333332,,688016777.20072,,,0.013334444703764211,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-02,164.3300018,172.25,163.3500061,172.0299988,3999400,149.1396027,Mixed Investors,-0.976208885,0.0,-1.351513603,25.89099,,,0.052919455,,,,0.0530392952218721,0,169.21000163333332,169.21000163333332,169.21000163333332,,688016777.20072,,,0.013334444703764211,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-02,164.3300018,172.25,163.3500061,172.0299988,3999400,149.1396027,Professional Investors,0.236959992,0.0,-1.351513603,25.89099,,,0.052919455,,,,0.0530392952218721,0,169.21000163333332,169.21000163333332,169.21000163333332,,688016777.20072,,,0.013334444703764211,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-03,170.6600037,171.7700043,168.2899933,169.5099945,4060200,146.9549408,Casual Investors,-0.423141794,3.61e-09,-0.35138587,25.81094,-0.014756783,,0.020460423,,,0.0150878836153331,0.0204670412548401,0,169.85666403333332,169.85666403333332,169.53577197881944,,688244479.6689,3.634496576523324e-09,2.144119340717296e-11,0.013537158670356417,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-03,170.6600037,171.7700043,168.2899933,169.5099945,4060200,146.9549408,Mixed Investors,-1.329689421,3.61e-09,-0.35138587,25.81094,-0.014756783,,0.020460423,,,0.0150878836153331,0.0204670412548401,0,169.85666403333332,169.85666403333332,169.53577197881944,,688244479.6689,3.634496576523324e-09,2.144119340717296e-11,0.013537158670356417,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-03,170.6600037,171.7700043,168.2899933,169.5099945,4060200,146.9549408,Professional Investors,-2.144631077,3.61e-09,-0.35138587,25.81094,-0.014756783,,0.020460423,,,0.0150878836153331,0.0204670412548401,0,169.85666403333332,169.85666403333332,169.53577197881944,,688244479.6689,3.634496576523324e-09,2.144119340717296e-11,0.013537158670356417,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-04,172.9900055,176.0,171.1000061,175.0500031,3788300,151.757782,Casual Investors,-1.680892287,8.63e-09,1.040046618,27.50526,0.032159696,,0.028157647,,,-0.069314863830538,0.0282339027017378,0,174.05000306666668,174.05000306666668,170.9791722126239,,663141926.74373,8.489215743209356e-09,4.8495947402867286e-11,0.012630613809888974,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-04,172.9900055,176.0,171.1000061,175.0500031,3788300,151.757782,Mixed Investors,-1.085194396,8.63e-09,1.040046618,27.50526,0.032159696,,0.028157647,,,-0.069314863830538,0.0282339027017378,0,174.05000306666668,174.05000306666668,170.9791722126239,,663141926.74373,8.489215743209356e-09,4.8495947402867286e-11,0.012630613809888974,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-04,172.9900055,176.0,171.1000061,175.0500031,3788300,151.757782,Professional Investors,-4.473304473,8.63e-09,1.040046618,27.50526,0.032159696,,0.028157647,,,-0.069314863830538,0.0282339027017378,0,174.05000306666668,174.05000306666668,170.9791722126239,,663141926.74373,8.489215743209356e-09,4.8495947402867286e-11,0.012630613809888974,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-07,175.2299957,177.8300018,172.2700043,176.0200043,3152100,152.5987091,Casual Investors,-1.3790955,1.76e-09,-0.864188195,26.58036,0.005525949,,0.031658349,,,-0.1838484722728584,0.0317623387782053,0,175.37333679999998,175.37333679999998,171.9025619590151,,554832655.5540301,1.7531007899495572e-09,9.95966791911706e-12,0.01050945220551462,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-07,175.2299957,177.8300018,172.2700043,176.0200043,3152100,152.5987091,Mixed Investors,-1.212932617,1.76e-09,-0.864188195,26.58036,0.005525949,,0.031658349,,,-0.1838484722728584,0.0317623387782053,0,175.37333679999998,175.37333679999998,171.9025619590151,,554832655.5540301,1.7531007899495572e-09,9.95966791911706e-12,0.01050945220551462,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-07,175.2299957,177.8300018,172.2700043,176.0200043,3152100,152.5987091,Professional Investors,-2.142754971,1.76e-09,-0.864188195,26.58036,0.005525949,,0.031658349,,,-0.1838484722728584,0.0317623387782053,0,175.37333679999998,175.37333679999998,171.9025619590151,,554832655.5540301,1.7531007899495572e-09,9.95966791911706e-12,0.01050945220551462,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
GS,2019-01-08,177.7799988,178.1000061,172.8999939,175.3699951,2692700,152.0352173,Casual Investors,-0.544282246,1.37e-09,-0.971358838,25.57258,-0.003699473,,0.029449312,,,-0.331211432,0.0296296991452991,0,175.45666503333334,175.45666503333334,172.44347054550653,,472218785.8057701,1.3738897760612022e-09,7.834235128294203e-12,0.008977761477678125,299930000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,,252,126,0
