symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg,hl_spread,zero_return_flag,typical_price,vwap_proxy,vwap_cum,rolls_measure,dollar_volume,kyle_lambda_proxy,amihud_impact_proxy,turnover_ratio,shares_outstanding,shares_outstanding_source,shares_outstanding_asof,shares_outstanding_confidence,external_identity_status,rolls_measure_rolling,rolls_measure_strict,rolls_measure_window,rolls_measure_min_periods,volume_zero_flag
BLK,2019-01-02,386.2799988,391.1600037,385.1000061,389.4200134,926800,333.5505066,Casual Investors,0.827120132,0.0,-1.289065667,57.23322,,,0.015624591,,,,0.0156133190515929,0,388.56000773333335,388.56000773333335,388.56000773333335,1.6269758731975388,360914468.41912,,,0.0059735739606832094,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-02,386.2799988,391.1600037,385.1000061,389.4200134,926800,333.5505066,Mixed Investors,0.07157178,0.0,-1.289065667,57.23322,,,0.015624591,,,,0.0156133190515929,0,388.56000773333335,388.56000773333335,388.56000773333335,1.6269758731975388,360914468.41912,,,0.0059735739606832094,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-02,386.2799988,391.1600037,385.1000061,389.4200134,926800,333.5505066,Professional Investors,-0.203360311,0.0,-1.289065667,57.23322,,,0.015624591,,,,0.0156133190515929,0,388.56000773333335,388.56000773333335,388.56000773333335,1.6269758731975388,360914468.41912,,,0.0059735739606832094,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-03,385.0299988,386.5499878,377.2799988,377.980011,781000,323.7518311,Casual Investors,0.863771102,3.76e-08,1.262060232,61.8081,-0.029817029,,0.024298473,,,-0.1711626427185351,0.0242723882608041,0,380.6033325333333,380.6033325333333,384.9213127273607,1.6269758731975388,295202388.591,3.8178014084507045e-08,1.0100537852121244e-10,0.005033838221076377,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-03,385.0299988,386.5499878,377.2799988,377.980011,781000,323.7518311,Mixed Investors,1.792165764,3.76e-08,1.262060232,61.8081,-0.029817029,,0.024298473,,,-0.1711626427185351,0.0242723882608041,0,380.6033325333333,380.6033325333333,384.9213127273607,1.6269758731975388,295202388.591,3.8178014084507045e-08,1.0100537852121244e-10,0.005033838221076377,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-03,385.0299988,386.5499878,377.2799988,377.980011,781000,323.7518311,Professional Investors,1.226993865,3.76e-08,1.262060232,61.8081,-0.029817029,,0.024298473,,,-0.1711626427185351,0.0242723882608041,0,380.6033325333333,380.6033325333333,384.9213127273607,1.6269758731975388,295202388.591,3.8178014084507045e-08,1.0100537852121244e-10,0.005033838221076377,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-04,385.1700134,392.9299927,381.9899902,391.8200073,647800,335.6061401,Casual Investors,0.926233503,5.65e-08,2.544476305,69.58238,0.035961002,,0.028159956,,,-0.1869931431024571,0.0282351797383233,0,388.9133300666667,388.9133300666667,386.0191344425936,1.6269758731975388,253821000.72894,5.551250694658845e-08,1.416785919869704e-10,0.004175314212052852,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-04,385.1700134,392.9299927,381.9899902,391.8200073,647800,335.6061401,Mixed Investors,1.069506554,5.65e-08,2.544476305,69.58238,0.035961002,,0.028159956,,,-0.1869931431024571,0.0282351797383233,0,388.9133300666667,388.9133300666667,386.0191344425936,1.6269758731975388,253821000.72894,5.551250694658845e-08,1.416785919869704e-10,0.004175314212052852,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-04,385.1700134,392.9299927,381.9899902,391.8200073,647800,335.6061401,Professional Investors,0.0,5.65e-08,2.544476305,69.58238,0.035961002,,0.028159956,,,-0.1869931431024571,0.0282351797383233,0,388.9133300666667,388.9133300666667,386.0191344425936,1.6269758731975388,253821000.72894,5.551250694658845e-08,1.416785919869704e-10,0.004175314212052852,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-07,390.9400024,398.1799927,389.4200134,392.9100037,714500,336.5398254,Casual Investors,0.937515661,3.89e-09,-1.024979566,65.19787,0.002778224,,0.022351162,,,0.098000990632693,0.0222447415747931,0,393.5033366,393.5033366,387.7609221503121,1.6269758731975388,280734197.64365,3.8883470958712384e-09,9.896279196902611e-12,0.0046052207541089265,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-07,390.9400024,398.1799927,389.4200134,392.9100037,714500,336.5398254,Mixed Investors,0.288487546,3.89e-09,-1.024979566,65.19787,0.002778224,,0.022351162,,,0.098000990632693,0.0222447415747931,0,393.5033366,393.5033366,387.7609221503121,1.6269758731975388,280734197.64365,3.8883470958712384e-09,9.896279196902611e-12,0.0046052207541089265,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-07,390.9400024,398.1799927,389.4200134,392.9100037,714500,336.5398254,Professional Investors,-0.469069146,3.89e-09,-1.024979566,65.19787,0.002778224,,0.022351162,,,0.098000990632693,0.0222447415747931,0,393.5033366,393.5033366,387.7609221503121,1.6269758731975388,280734197.64365,3.8883470958712384e-09,9.896279196902611e-12,0.0046052207541089265,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-08,397.7600098,400.8500061,393.6000061,397.9100037,642900,340.8225098,Casual Investors,1.311428977,1.98e-08,0.05343134,64.62274,0.012645348,,0.018223635,,,-0.177181861,0.0182516203377559,0,397.4533386333333,397.4533386333333,389.4391485324652,1.6269758731975388,255816341.37873,1.966923005132991e-08,4.943135349308613e-11,0.004143731872381567,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-08,397.7600098,400.8500061,393.6000061,397.9100037,642900,340.8225098,Mixed Investors,0.553995323,1.98e-08,0.05343134,64.62274,0.012645348,,0.018223635,,,-0.177181861,0.0182516203377559,0,397.4533386333333,397.4533386333333,389.4391485324652,1.6269758731975388,255816341.37873,1.966923005132991e-08,4.943135349308613e-11,0.004143731872381567,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-08,397.7600098,400.8500061,393.6000061,397.9100037,642900,340.8225098,Professional Investors,-0.679240227,1.98e-08,0.05343134,64.62274,0.012645348,,0.018223635,,,-0.177181861,0.0182516203377559,0,397.4533386333333,397.4533386333333,389.4391485324652,1.6269758731975388,255816341.37873,1.966923005132991e-08,4.943135349308613e-11,0.004143731872381567,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-09,399.5,403.1499939,395.2999878,400.1900024,640500,342.7753296,Casual Investors,1.056901761,8.95e-09,-0.68234062,61.71655,0.005713374,,0.019632623,,,-0.083890457,0.0196631129811948,0,399.54666136666674,399.54666136666674,390.9261961884445,1.6269758731975388,256321696.5372,8.920177985948478e-09,2.2289857148986285e-11,0.0041282629713180795,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-09,399.5,403.1499939,395.2999878,400.1900024,640500,342.7753296,Mixed Investors,1.013296889,8.95e-09,-0.68234062,61.71655,0.005713374,,0.019632623,,,-0.083890457,0.0196631129811948,0,399.54666136666674,399.54666136666674,390.9261961884445,1.6269758731975388,256321696.5372,8.920177985948478e-09,2.2289857148986285e-11,0.0041282629713180795,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-09,399.5,403.1499939,395.2999878,400.1900024,640500,342.7753296,Professional Investors,0.998678658,8.95e-09,-0.68234062,61.71655,0.005713374,,0.019632623,,,-0.083890457,0.0196631129811948,0,399.54666136666674,399.54666136666674,390.9261961884445,1.6269758731975388,256321696.5372,8.920177985948478e-09,2.2289857148986285e-11,0.0041282629713180795,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-10,399.1199951,400.9200134,395.2200012,399.5,487100,342.1843872,Casual Investors,0.825370677,3.54e-09,-1.049019594,57.86481,-0.001725481,,0.014274654,,,-0.305927158,0.0143191199926405,0,398.5466715333334,398.5466715333334,391.69302954391605,1.6269758731975388,194596450.0,3.542354752617532e-09,8.866970594787315e-12,0.0031395423783435383,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-10,399.1199951,400.9200134,395.2200012,399.5,487100,342.1843872,Mixed Investors,0.28187587,3.54e-09,-1.049019594,57.86481,-0.001725481,,0.014274654,,,-0.305927158,0.0143191199926405,0,398.5466715333334,398.5466715333334,391.69302954391605,1.6269758731975388,194596450.0,3.542354752617532e-09,8.866970594787315e-12,0.0031395423783435383,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-10,399.1199951,400.9200134,395.2200012,399.5,487100,342.1843872,Professional Investors,-0.0252698,3.54e-09,-1.049019594,57.86481,-0.001725481,,0.014274654,,,-0.305927158,0.0143191199926405,0,398.5466715333334,398.5466715333334,391.69302954391605,1.6269758731975388,194596450.0,3.542354752617532e-09,8.866970594787315e-12,0.0031395423783435383,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-11,395.0100098,399.6300049,389.6700134,397.9100037,706500,340.8225098,Casual Investors,0.658485943,5.63e-09,-0.906995769,54.7843,-0.003987893,,0.025122311,,,0.128589625,0.0252375301382911,0,395.736674,395.736674,392.2080436608823,1.6269758731975388,281123417.61405003,5.6445760792639775e-09,1.4185559615936784e-11,0.00455365775056397,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-11,395.0100098,399.6300049,389.6700134,397.9100037,706500,340.8225098,Mixed Investors,0.281735347,5.63e-09,-0.906995769,54.7843,-0.003987893,,0.025122311,,,0.128589625,0.0252375301382911,0,395.736674,395.736674,392.2080436608823,1.6269758731975388,281123417.61405003,5.6445760792639775e-09,1.4185559615936784e-11,0.00455365775056397,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-11,395.0100098,399.6300049,389.6700134,397.9100037,706500,340.8225098,Professional Investors,-2.157301636,5.63e-09,-0.906995769,54.7843,-0.003987893,,0.025122311,,,0.128589625,0.0252375301382911,0,395.736674,395.736674,392.2080436608823,1.6269758731975388,281123417.61405003,5.6445760792639775e-09,1.4185559615936784e-11,0.00455365775056397,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-14,392.8699951,399.9500122,391.1099854,396.4200134,919700,339.5461731,Casual Investors,1.038300471,4.07e-09,-1.012901108,51.60635,-0.003751902,,0.022399946,,,0.395538462,0.0223498263768102,0,395.82667033333337,395.82667033333337,392.72268010404633,1.6269758731975388,364587486.32398,4.079484614548222e-09,1.029081397671993e-11,0.005927811795037061,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-14,392.8699951,399.9500122,391.1099854,396.4200134,919700,339.5461731,Mixed Investors,-0.562405198,4.07e-09,-1.012901108,51.60635,-0.003751902,,0.022399946,,,0.395538462,0.0223498263768102,0,395.82667033333337,395.82667033333337,392.72268010404633,1.6269758731975388,364587486.32398,4.079484614548222e-09,1.029081397671993e-11,0.005927811795037061,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-14,392.8699951,399.9500122,391.1099854,396.4200134,919700,339.5461731,Professional Investors,0.191817235,4.07e-09,-1.012901108,51.60635,-0.003751902,,0.022399946,,,0.395538462,0.0223498263768102,0,395.82667033333337,395.82667033333337,392.72268010404633,1.6269758731975388,364587486.32398,4.079484614548222e-09,1.029081397671993e-11,0.005927811795037061,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
BLK,2019-01-15,396.5499878,401.1199951,393.3999939,400.7099915,846600,343.2207031,Casual Investors,0.883848206,1.28e-08,-0.422100099,50.55696,0.010763749,,0.019366333,,,0.206785634,0.0194331201401654,0,398.4099935,398.4099935,393.3810441373297,1.6269758731975388,339241078.8039,1.2714090479565322e-08,3.172890806134371e-11,0.005456654850145021,155150000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.6269758731975388,252,126,0
