symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg
WFC,1/2/2019,45.52999878,46.95000076,45.40999985,46.93999863,20295200.0,39.50544739,Casual Investors,0.343068945,0.0,-1.31482046,13.64613,,,0.033308121,,,
WFC,1/2/2019,45.52999878,46.95000076,45.40999985,46.93999863,20295200.0,39.50544739,Mixed Investors,0.328126318,0.0,-1.31482046,13.64613,,,0.033308121,,,
WFC,1/2/2019,45.52999878,46.95000076,45.40999985,46.93999863,20295200.0,39.50544739,Professional Investors,-3.109089896,0.0,-1.31482046,13.64613,,,0.033308121,,,
WFC,1/3/2019,46.65000153,47.34999847,46.36999893,46.56999969,22262000.0,39.19405746,Casual Investors,0.021828541,3.54e-10,-0.552706557,13.39045,-0.007913431,,0.021025521,,,
WFC,1/3/2019,46.65000153,47.34999847,46.36999893,46.56999969,22262000.0,39.19405746,Mixed Investors,-0.31908172,3.54e-10,-0.552706557,13.39045,-0.007913431,,0.021025521,,,
WFC,1/3/2019,46.65000153,47.34999847,46.36999893,46.56999969,22262000.0,39.19405746,Professional Investors,1.251198844,3.54e-10,-0.552706557,13.39045,-0.007913431,,0.021025521,,,
WFC,1/4/2019,47.41999817,48.11000061,47.20000076,47.95000076,23343600.0,40.35548401,Casual Investors,0.216221738,1.27e-09,1.417553784,14.37499,0.029202156,,0.019083566,,,
WFC,1/4/2019,47.41999817,48.11000061,47.20000076,47.95000076,23343600.0,40.35548401,Mixed Investors,-0.474633242,1.27e-09,1.417553784,14.37499,0.029202156,,0.019083566,,,
WFC,1/4/2019,47.41999817,48.11000061,47.20000076,47.95000076,23343600.0,40.35548401,Professional Investors,1.018960206,1.27e-09,1.417553784,14.37499,0.029202156,,0.019083566,,,
WFC,1/7/2019,47.77999878,48.22999954,47.54000092,47.63999939,21858000.0,40.09457016,Casual Investors,0.925537133,2.96e-10,-0.678141289,13.97763,-0.006486379,,0.014462348,,,
WFC,1/7/2019,47.77999878,48.22999954,47.54000092,47.63999939,21858000.0,40.09457016,Mixed Investors,0.684942918,2.96e-10,-0.678141289,13.97763,-0.006486379,,0.014462348,,,
WFC,1/7/2019,47.77999878,48.22999954,47.54000092,47.63999939,21858000.0,40.09457016,Professional Investors,0.394388562,2.96e-10,-0.678141289,13.97763,-0.006486379,,0.014462348,,,
WFC,1/8/2019,47.90000153,48.15999985,46.91999817,47.54000092,19702900.0,40.01042175,Casual Investors,0.369489303,1.07e-10,-1.085540194,13.34316,-0.002100954,,0.025984946,,,-0.107531948
WFC,1/8/2019,47.90000153,48.15999985,46.91999817,47.54000092,19702900.0,40.01042175,Mixed Investors,0.28791904,1.07e-10,-1.085540194,13.34316,-0.002100954,,0.025984946,,,-0.107531948
WFC,1/8/2019,47.90000153,48.15999985,46.91999817,47.54000092,19702900.0,40.01042175,Professional Investors,0.206918119,1.07e-10,-1.085540194,13.34316,-0.002100954,,0.025984946,,,-0.107531948
WFC,1/9/2019,47.50999832,47.97999954,47.08000183,47.79999924,18837700.0,40.22924042,Casual Investors,0.291221841,2.9e-10,-0.689907041,13.00419,0.005454141,,0.018885694,,,-0.145665541
WFC,1/9/2019,47.50999832,47.97999954,47.08000183,47.79999924,18837700.0,40.22924042,Mixed Investors,-0.028163844,2.9e-10,-0.689907041,13.00419,0.005454141,,0.018885694,,,-0.145665541
