symbol,date,open,high,low,close,volume,adjusted,channel_classification,v2tone1,amihud_ratio,amihud_zscore,illiq,r,volatility,intra_day_chg,downside_risk,var1pct,lnvol_chg,hl_spread,zero_return_flag,typical_price,vwap_proxy,vwap_cum,rolls_measure,dollar_volume,kyle_lambda_proxy,amihud_impact_proxy,turnover_ratio,shares_outstanding,shares_outstanding_source,shares_outstanding_asof,shares_outstanding_confidence,external_identity_status,rolls_measure_rolling,rolls_measure_strict,rolls_measure_window,rolls_measure_min_periods,volume_zero_flag
JPM,2019-01-02,95.94999695,99.77999878,95.94000244,99.30999756,15670900.0,82.91622925,Casual Investors,0.087094099,0.0,-1.350522356,8.60452,,,0.039332136,,,,0.0392396925818903,0,98.34333292666668,98.34333292666668,98.34333292666668,1.2646135947446695,1556277040.763004,,,0.005761360294117647,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-02,95.94999695,99.77999878,95.94000244,99.30999756,15670900.0,82.91622925,Mixed Investors,-0.749212655,0.0,-1.350522356,8.60452,,,0.039332136,,,,0.0392396925818903,0,98.34333292666668,98.34333292666668,98.34333292666668,1.2646135947446695,1556277040.763004,,,0.005761360294117647,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-02,95.94999695,99.77999878,95.94000244,99.30999756,15670900.0,82.91622925,Professional Investors,1.708893981,0.0,-1.350522356,8.60452,,,0.039332136,,,,0.0392396925818903,0,98.34333292666668,98.34333292666668,98.34333292666668,1.2646135947446695,1556277040.763004,,,0.005761360294117647,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-03,98.63999939,98.88999939,96.69000244,97.11000061,16286400.0,81.73783112,Casual Investors,-0.738106643,8.73e-10,-0.050753033,8.729107,-0.014313868,,0.022477619,,,0.0385249144089243,0.0224971564517343,0,97.56333414666666,97.56333414666666,97.94582211910182,1.2646135947446695,1581572313.934704,8.78884713626093e-10,9.050403749411455e-12,0.00598764705882353,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-03,98.63999939,98.88999939,96.69000244,97.11000061,16286400.0,81.73783112,Mixed Investors,-0.630516001,8.73e-10,-0.050753033,8.729107,-0.014313868,,0.022477619,,,0.0385249144089243,0.0224971564517343,0,97.56333414666666,97.56333414666666,97.94582211910182,1.2646135947446695,1581572313.934704,8.78884713626093e-10,9.050403749411455e-12,0.00598764705882353,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-03,98.63999939,98.88999939,96.69000244,97.11000061,16286400.0,81.73783112,Professional Investors,-0.98744243,8.73e-10,-0.050753033,8.729107,-0.014313868,,0.022477619,,,0.0385249144089243,0.0224971564517343,0,97.56333414666666,97.56333414666666,97.94582211910182,1.2646135947446695,1581572313.934704,8.78884713626093e-10,9.050403749411455e-12,0.00598764705882353,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-04,99.11000061,100.9300003,98.27999878,100.6900024,16935200.0,84.75113678,Casual Investors,-1.618305292,2.18e-09,1.89189284,9.688918,0.036202216,,0.026526541,,,0.0390638923452968,0.0266051054890653,0,99.96666716,99.96666716,98.64579481300412,1.2646135947446695,1705205328.64448,2.1376904908120372e-09,2.123041453827631e-11,0.006226176470588235,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-04,99.11000061,100.9300003,98.27999878,100.6900024,16935200.0,84.75113678,Mixed Investors,0.073478125,2.18e-09,1.89189284,9.688918,0.036202216,,0.026526541,,,0.0390638923452968,0.0266051054890653,0,99.96666716,99.96666716,98.64579481300412,1.2646135947446695,1705205328.64448,2.1376904908120372e-09,2.123041453827631e-11,0.006226176470588235,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-04,99.11000061,100.9300003,98.27999878,100.6900024,16935200.0,84.75113678,Professional Investors,1.502597723,2.18e-09,1.89189284,9.688918,0.036202216,,0.026526541,,,0.0390638923452968,0.0266051054890653,0,99.96666716,99.96666716,98.64579481300412,1.2646135947446695,1705205328.64448,2.1376904908120372e-09,2.123041453827631e-11,0.006226176470588235,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-07,100.4300003,101.4700012,99.70999908,100.7600021,15430700.0,84.81004333,Casual Investors,0.078618962,4.5e-11,-1.283430263,9.159682,0.000694812,,0.01749592,,,-0.0930352645453815,0.0174967901138328,0,100.64666746,100.64666746,99.12579060851805,1.2646135947446695,1554797364.40447,4.5027898928758896e-11,4.468826715989013e-13,0.005673051470588235,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-07,100.4300003,101.4700012,99.70999908,100.7600021,15430700.0,84.81004333,Mixed Investors,-0.046126718,4.5e-11,-1.283430263,9.159682,0.000694812,,0.01749592,,,-0.0930352645453815,0.0174967901138328,0,100.64666746,100.64666746,99.12579060851805,1.2646135947446695,1554797364.40447,4.5027898928758896e-11,4.468826715989013e-13,0.005673051470588235,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-07,100.4300003,101.4700012,99.70999908,100.7600021,15430700.0,84.81004333,Professional Investors,0.026266083,4.5e-11,-1.283430263,9.159682,0.000694812,,0.01749592,,,-0.0930352645453815,0.0174967901138328,0,100.64666746,100.64666746,99.12579060851805,1.2646135947446695,1554797364.40447,4.5027898928758896e-11,4.468826715989013e-13,0.005673051470588235,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
JPM,2019-01-08,101.6299973,101.8199997,99.55000305,100.5699997,13578800.0,84.65011597,Casual Investors,0.379165333,1.39e-10,-1.143673563,8.727384,-0.001887493,,0.022452984,,,-0.169116261,0.0225455293141966,0,100.64666748333332,100.64666748333332,99.3908888461466,1.2646135947446695,1365619911.92636,1.3900293103956167e-10,1.3821510535369097e-12,0.004992205882352941,2720000000.0,Yahoo Finance Key Statistics,2026-01-07,low,ticker_match_ok (SEC validation recommended),,1.2646135947446697,252,126,0
